cod_ibge,sim_obitos_calor_total,gal_positivos_total,gal_testes_total,municipio,regional_saude,populacao_2025,tmax,utci_proxy,risco_cumulativo_3d,pm25_ugm3,score_saude_v9,score_exposicao_v9,score_priorizacao_v9,nivel_priorizacao_v9,tem_modelagem_temporal
5106273,178.0,14.0,266.0,Novo Horizonte do Norte,ERS Juara,4051,29.214285714285715,29.094285714285714,4.287280150249562,,36.19718309859155,55.08802816901409,44.7,baixo,0
5103452,283.0,33.0,334.0,Denise,ERS Tangará da Serra,9544,27.428571428571427,27.33142857142857,3.542027770699998,,50.28169014084507,37.25352112676056,44.42,baixo,0
5107008,1127.0,0.0,6.0,Poxoréu,ERS Rondonópolis,15916,27.5,27.071428571428573,1.9359015837028941,,57.46478873239436,27.676056338028168,44.06,baixo,0
5104526,88.0,121.0,1717.0,Ipiranga do Norte,ERS Sinop,7920,29.385714285714283,29.122857142857146,4.229629349943941,,33.87323943661971,55.845070422535215,43.76,baixo,0
5100409,496.0,370.0,2058.0,Alto Garças,ERS Rondonópolis,12151,26.014285714285712,25.5,0.4095238095238101,,71.69014084507043,9.54225352112676,43.72,baixo,0
5101001,136.0,0.0,0.0,Araguaiana,ERS Barra do Garças,3109,32.385714285714286,31.208571428571435,5.0643261358284395,,18.16901408450704,74.71830985915493,43.62,baixo,0
5104203,895.0,0.0,6.0,Guiratinga,ERS Rondonópolis,15245,28.071428571428573,27.47714285714286,1.7221320574781516,,55.352112676056336,28.978873239436616,43.48,baixo,0
5105903,657.0,0.0,54.0,Nobres,ERS Diamantino,15334,27.685714285714287,27.37714285714286,2.979405775096929,,50.28169014084507,34.92957746478873,43.37,baixo,0
5107800,788.0,7.0,157.0,Santo Antônio de Leverger,ERS Cuiabá,16999,26.157142857142855,25.974285714285713,1.9228020037114286,,63.38028169014085,18.556338028169012,43.21,baixo,0
5106653,186.0,12.0,162.0,Pontal do Araguaia,ERS Barra do Garças,6843,30.1,29.254285714285714,3.2203913672752473,,36.33802816901408,51.02112676056338,42.95,baixo,0
5103908,225.0,63.0,368.0,General Carneiro,ERS Barra do Garças,5592,28.942857142857143,28.268571428571427,2.2596933628303053,,47.53521126760563,36.70774647887324,42.66,baixo,0
5106174,81.0,0.0,7.0,Nova Nazaré,ERS Água Boa,3932,32.84285714285714,31.66,7.289322065419164,,10.56338028169014,81.23239436619718,42.36,baixo,0
5108303,76.0,13.0,133.0,União do Sul,ERS Sinop,3490,30.5,30.19142857142857,4.723383558669967,,22.95774647887324,65.35211267605634,42.04,baixo,0
5105309,67.0,0.0,3.0,Luciara,ERS São Félix do Araguaia,2058,32.8,32.13714285714286,7.783767921417655,,8.87323943661972,82.5,42.01,baixo,0
5107248,141.0,7.0,19.0,Santa Carmem,ERS Sinop,4563,29.62857142857143,29.41714285714286,4.124109460134129,,28.732394366197184,57.570422535211264,41.71,baixo,0
5106000,374.0,17.0,108.0,Nortelândia,ERS Diamantino,5923,26.928571428571427,26.774285714285718,2.491663309547435,,53.66197183098592,27.02464788732394,41.68,baixo,0
5106315,35.0,0.0,7.0,Novo Santo Antônio,ERS São Félix do Araguaia,2705,33.51428571428571,32.51428571428572,7.794424860121765,,7.183098591549297,83.80281690140845,41.66,baixo,0
5104807,1151.0,16.0,242.0,Jaciara,ERS Rondonópolis,27807,25.02857142857143,24.822857142857142,0.1395291555219121,,71.83098591549296,4.348591549295774,41.46,baixo,0
5107305,521.0,0.0,32.0,São José do Rio Claro,ERS Diamantino,21011,27.957142857142856,27.688571428571432,2.927793314510013,,45.0,36.63732394366197,41.24,baixo,0
5100508,408.0,1.0,33.0,Alto Paraguai,ERS Diamantino,11473,27.3,27.134285714285713,2.99821215768145,,46.76056338028169,32.7112676056338,40.44,baixo,0
5100359,99.0,0.0,9.0,Alto Boa Vista,ERS São Félix do Araguaia,6936,31.97142857142857,31.125714285714288,4.114795534244457,,12.676056338028168,68.67957746478874,37.88,baixo,0
5107206,280.0,95.0,513.0,Rio Branco,ERS Cáceres,5150,25.599999999999998,25.41714285714286,1.94238926882382,,54.436619718309856,16.373239436619716,37.31,baixo,0
5103601,507.0,0.0,17.0,Dom Aquino,ERS Rondonópolis,8159,27.357142857142858,26.974285714285713,2.1036871074426373,,43.943661971830984,27.746478873239433,36.65,baixo,0
5104906,294.0,2.0,8.0,Jangada,ERS Cuiabá,8451,26.928571428571427,26.68285714285714,3.005508944651455,,41.760563380281695,29.612676056338028,36.29,baixo,0
5106455,126.0,18.0,43.0,Planalto da Serra,ERS Cuiabá,2649,29.142857142857142,28.639999999999997,2.764473433547436,,31.901408450704224,41.61971830985915,36.27,baixo,0
5105234,207.0,77.0,356.0,Lambari D'Oeste,ERS Cáceres,6186,26.314285714285713,26.17142857142857,2.630897550945776,,46.47887323943662,23.6443661971831,36.2,baixo,0
5107743,29.0,0.0,0.0,Santa Cruz do Xingu,ERS Porto Alegre do Norte,2633,30.985714285714288,30.694285714285716,5.302602287769051,,6.760563380281691,71.32042253521126,35.81,baixo,0
5105200,569.0,0.0,56.0,Juscimeira,ERS Rondonópolis,11176,26.599999999999998,26.262857142857143,1.9383213479407144,,47.112676056338024,21.23239436619718,35.47,baixo,0
5100300,799.0,0.0,0.0,Alto Araguaia,ERS Rondonópolis,19385,26.214285714285715,25.854285714285712,1.050927806792395,,53.66197183098591,13.169014084507042,35.44,baixo,0
5108105,196.0,0.0,0.0,Tesouro,ERS Rondonópolis,3824,29.271428571428572,28.580000000000002,2.762974848817889,,24.929577464788736,41.725352112676056,32.49,baixo,0
5101605,280.0,0.0,1.0,Barão de Melgaço,ERS Cuiabá,8164,27.014285714285712,26.7,3.222312872069535,,32.32394366197183,31.63732394366197,32.01,baixo,0
5108204,241.0,0.0,0.0,Torixoréu,ERS Barra do Garças,3547,28.8,28.022857142857145,1.9311842881109453,,29.577464788732392,33.767605633802816,31.46,baixo,0
5108857,102.0,23.0,187.0,Nova Marilândia,ERS Tangará da Serra,3304,27.142857142857142,27.06857142857143,3.583652650044542,,28.169014084507044,35.28169014084507,31.37,baixo,0
5106802,215.0,0.0,30.0,Porto dos Gaúchos,ERS Juara,5363,28.02857142857143,27.97714285714286,2.83239961327788,,26.619718309859152,36.76056338028169,31.18,baixo,0
5107768,52.0,2.0,37.0,Santa Rita do Trivelato,ERS Sinop,3506,29.557142857142857,29.060000000000002,3.405396899653695,,15.774647887323946,49.78873239436619,31.08,baixo,0
5107750,243.0,0.0,16.0,Salto do Céu,ERS Cáceres,3295,26.75714285714286,26.58571428571429,3.637866317984263,,30.0,32.25352112676056,31.01,baixo,0
5107578,41.0,0.0,0.0,Rondolândia,ERS Pontes e Lacerda,4036,29.014285714285712,29.11714285714286,5.310702841577632,,7.605633802816902,59.154929577464785,30.8,baixo,0
5100102,276.0,0.0,22.0,Acorizal,ERS Cuiabá,5334,26.957142857142856,26.68285714285714,2.7514778859452704,,31.690140845070424,27.658450704225352,29.88,baixo,0
5103437,201.0,33.0,372.0,Curvelândia,ERS Cáceres,5241,25.714285714285715,25.565714285714286,1.6392838115900314,,42.25352112676057,14.29577464788732,29.67,baixo,0
5104609,359.0,3.0,8.0,Itiquira,ERS Rondonópolis,13552,25.47142857142857,25.08857142857143,0.4508399689152543,,47.605633802816904,7.5,29.56,baixo,0
5107198,97.0,0.0,35.0,Ribeirãozinho,ERS Barra do Garças,2422,29.32857142857143,28.66,3.8783852989998016,,12.253521126760564,50.510563380281695,29.47,baixo,0
5107297,149.0,1.0,62.0,São José do Povo,ERS Rondonópolis,4450,28.25714285714286,27.72,1.9973034137533545,,26.056338028169016,33.08098591549296,29.22,baixo,0
5108907,117.0,8.0,76.0,Nova Maringá,ERS Diamantino,8850,27.857142857142858,27.622857142857146,2.4021310736216845,,25.774647887323944,33.309859154929576,29.17,baixo,0
5104542,107.0,0.0,0.0,Itanhangá,ERS Sinop,6885,28.728571428571428,28.60857142857143,3.8307856844588426,,13.52112676056338,46.478873239436616,28.35,baixo,0
5107404,162.0,0.0,0.0,São Pedro da Cipa,ERS Rondonópolis,4771,27.67142857142857,27.38,3.3362331137998043,,20.704225352112672,37.394366197183096,28.21,baixo,0
5106182,159.0,1.0,37.0,Nova Lacerda,ERS Pontes e Lacerda,6751,26.814285714285717,26.63714285714286,2.68509557554239,,26.478873239436624,26.443661971830984,26.46,baixo,0
5105507,383.0,0.0,2.0,Vila Bela da Santíssima Trindade,ERS Pontes e Lacerda,16271,25.37142857142857,25.245714285714286,1.2748373629314467,,39.71830985915493,10.035211267605632,26.36,baixo,0
5104500,144.0,52.0,420.0,Indiavaí,ERS Cáceres,2779,25.157142857142855,25.00857142857143,1.5097274378721632,,38.16901408450705,10.880281690140844,25.89,baixo,0
5105002,511.0,0.0,20.0,Jauru,ERS Pontes e Lacerda,8582,23.185714285714287,23.08857142857143,0.055874817239777386,,44.36619718309859,0.8450704225352113,24.78,baixo,0
5106828,356.0,0.0,37.0,Porto Esperidião,ERS Cáceres,12097,24.928571428571427,24.677142857142858,1.2424255423378678,,37.6056338028169,7.32394366197183,23.98,baixo,0
5106703,121.0,0.0,12.0,Ponte Branca,ERS Barra do Garças,1550,27.957142857142856,27.442857142857143,2.282349510214096,,16.267605633802816,32.55281690140845,23.6,baixo,0
5101837,1.0,0.0,39.0,Boa Esperança do Norte,ERS Sinop,0,29.17142857142857,28.76571428571429,3.0894052025779795,,5.91549295774648,45.14084507042253,23.57,baixo,0
5107792,71.0,0.0,0.0,Santo Antônio do Leste,ERS Rondonópolis,5334,29.328571428571426,28.442857142857147,1.4034087075924229,,9.295774647887324,34.33098591549296,20.56,baixo,0
5106851,171.0,0.0,25.0,Porto Estrela,ERS Tangará da Serra,2877,26.042857142857144,25.888571428571428,1.790684418557884,,22.394366197183096,17.21830985915493,20.07,baixo,0
5103957,147.0,0.0,25.0,Glória D'Oeste,ERS Cáceres,3008,26.3,26.054285714285715,2.034049592688567,,19.436619718309856,20.739436619718308,20.02,baixo,0
5107263,120.0,0.0,0.0,Santo Afonso,ERS Tangará da Serra,3155,26.571428571428573,26.49142857142857,2.5187539996595407,,15.633802816901408,24.54225352112676,19.64,baixo,0
5102686,88.0,42.0,271.0,Campos de Júlio,ERS Pontes e Lacerda,7070,25.557142857142857,25.545714285714286,0.18709382442670883,,29.084507042253524,7.922535211267606,19.56,baixo,0
5100607,170.0,4.0,93.0,Alto Taquari,ERS Rondonópolis,11133,23.97142857142857,23.78857142857143,0.3644047619047606,,31.05633802816902,2.957746478873239,18.41,baixo,0
5103809,170.0,0.0,0.0,Figueirópolis D'Oeste,ERS Pontes e Lacerda,3452,25.2,25.017142857142858,1.3113808389093118,,21.760563380281695,9.753521126760564,16.36,baixo,0
5103361,90.0,15.0,214.0,Conquista D'Oeste,ERS Pontes e Lacerda,4101,23.728571428571428,23.717142857142854,0.0,,25.492957746478872,0.9507042253521127,14.45,baixo,0
5108352,115.0,2.0,14.0,Vale de São Domingos,ERS Pontes e Lacerda,3126,23.87142857142857,23.888571428571428,0.5038265452702847,,22.535211267605632,3.697183098591549,14.06,baixo,0
5101209,56.0,0.0,0.0,Araguainha,ERS Rondonópolis,946,26.74285714285714,26.194285714285716,0.7322946434390742,,8.450704225352112,15.000000000000002,11.4,baixo,0
5107156,111.0,0.0,81.0,Reserva do Cabaçal,ERS Cáceres,2743,24.87142857142857,24.819999999999997,0.6945962536112033,,14.366197183098592,5.422535211267605,10.34,baixo,0
